category_name,tags
downtown,outdoor
dressing_room,indoor
driveway,outdoor
drugstore,indoor
elevator-door,indoor
elevator_lobby,indoor
elevator_shaft,indoor
embassy,indoor
engine_room,indoor
entrance_hall,indoor
escalator-indoor,indoor
excavation,nature
fabric_store,indoor
farm,nature
fastfood_restaurant,outdoor
field-cultivated,nature
field-wild,nature
field_road,nature
fire_escape,outdoor
fire_station,outdoor
fishpond,nature
flea_market-indoor,indoor
florist_shop-indoor,indoor
food_court,indoor
football_field,outdoor
forest-broadleaf,nature
forest_path,nature
forest_road,nature
formal_garden,nature
fountain,outdoor
galley,indoor
garage-indoor,indoor
garage-outdoor,outdoor
gas_station,outdoor
gazebo-exterior,nature
general_store-indoor,indoor
general_store-outdoor,outdoor
gift_shop,indoor
glacier,nature
golf_course,nature
greenhouse-indoor,indoor
greenhouse-outdoor,outdoor
grotto,nature
gymnasium-indoor,indoor
hangar-indoor,indoor
hangar-outdoor,outdoor
harbor,outdoor
hardware_store,indoor
hayfield,nature
heliport,outdoor
highway,outdoor
home_office,indoor
home_theater,indoor
hospital,outdoor
hospital_room,indoor
hot_spring,nature
hotel-outdoor,outdoor
hotel_room,indoor
house,outdoor
hunting_lodge-outdoor,nature
ice_cream_parlor,outdoor
ice_floe,nature
ice_shelf,nature
ice_skating_rink-indoor,indoor
ice_skating_rink-outdoor,outdoor
iceberg,nature
igloo,nature
industrial_area,outdoor
inn-outdoor,outdoor
islet,nature
jacuzzi-indoor,indoor
jail_cell,indoor
japanese_garden,nature
jewelry_shop,indoor
junkyard,outdoor
kasbah,outdoor
kennel-outdoor,indoor
kindergarden_classroom,indoor
kitchen,indoor
lagoon,nature
lake-natural,nature
landfill,outdoor
landing_deck,nature
laundromat,indoor
lawn,nature
lecture_room,indoor
legislative_chamber,indoor
library-indoor,indoor
library-outdoor,outdoor
lighthouse,nature
living_room,indoor
loading_dock,outdoor
lobby,indoor
lock_chamber,outdoor
locker_room,indoor
mansion,outdoor
manufactured_home,outdoor
market-indoor,indoor
market-outdoor,outdoor
marsh,nature
martial_arts_gym,indoor
mausoleum,outdoor
medina,outdoor
mezzanine,indoor
moat-water,nature
mosque-outdoor,outdoor
motel,outdoor
mountain,nature
mountain_path,nature
mountain_snowy,nature
movie_theater-indoor,indoor
museum-indoor,indoor
museum-outdoor,outdoor
music_studio,indoor
natural_history_museum,indoor
nursery,indoor
nursing_home,indoor
oast_house,outdoor
ocean,nature
office,indoor
office_building,outdoor
office_cubicles,indoor
oilrig,nature
operating_room,indoor
orchard,nature
orchestra_pit,indoor
pagoda,outdoor
palace,outdoor
pantry,indoor
park,nature
parking_garage-indoor,indoor
parking_garage-outdoor,outdoor
parking_lot,outdoor
pasture,nature
patio,outdoor
pavilion,outdoor
pet_shop,indoor
pharmacy,indoor
phone_booth,outdoor
physics_laboratory,indoor
picnic_area,nature
pier,nature
pizzeria,indoor
playground,outdoor
playroom,indoor
plaza,outdoor
pond,nature
porch,outdoor
promenade,outdoor
pub-indoor,indoor
racecourse,outdoor
raceway,outdoor
raft,nature
railroad_track,nature
rainforest,nature
reception,indoor
recreation_room,indoor
repair_shop,indoor
residential_neighborhood,outdoor
restaurant,indoor
restaurant_kitchen,indoor
restaurant_patio,outdoor
rice_paddy,nature
river,nature
rock_arch,nature
roof_garden,outdoor
rope_bridge,nature
ruin,nature
runway,outdoor
sandbox,outdoor
sauna,indoor
schoolhouse,outdoor
science_museum,indoor
server_room,indoor
shed,outdoor
shoe_shop,indoor
shopfront,outdoor
shopping_mall-indoor,indoor
shower,indoor
ski_resort,nature
ski_slope,nature
sky,nature
skyscraper,outdoor
slum,outdoor
snowfield,nature
soccer_field,outdoor
stable,outdoor
stadium-baseball,outdoor
stadium-football,outdoor
stadium-soccer,outdoor
stage-indoor,indoor
stage-outdoor,outdoor
staircase,indoor
storage_room,indoor
street,outdoor
subway_station-platform,indoor
supermarket,indoor
sushi_bar,indoor
swamp,nature
swimming_hole,nature
swimming_pool-indoor,indoor
swimming_pool-outdoor,outdoor
synagogue-outdoor,outdoor
television_room,indoor
television_studio,indoor
temple-asia,outdoor
throne_room,indoor
ticket_booth,outdoor
topiary_garden,outdoor
tower,outdoor
toyshop,indoor
train_interior,indoor
train_station-platform,outdoor
tree_farm,nature
tree_house,nature
trench,nature
tundra,nature
underwater-ocean_deep,nature
utility_room,indoor
valley,nature
vegetable_garden,outdoor
veterinarians_office,indoor
viaduct,nature
village,outdoor
vineyard,nature
volcano,nature
volleyball_court-outdoor,outdoor
waiting_room,indoor
water_park,outdoor
water_tower,outdoor
waterfall,nature
watering_hole,nature
wave,nature
wet_bar,indoor
wheat_field,nature
wind_farm,nature
windmill,nature
yard,outdoor
youth_hostel,indoor
zen_garden,outdoor
